,number,value,params_k_1_init,params_k_2_init,params_kt_1_init,state
0,0,5287359923747.921,9259191.734573344,7542681.055341988,8212178.659966621,COMPLETE
1,1,5087183155842.93,7179654.729482692,7644314.994572112,9125994.30407439,COMPLETE
2,2,2839929880715.388,9040401.412041655,1555516.6566208445,7812109.598035708,COMPLETE
3,3,3416819803952.333,8680035.15004008,6984907.495245439,2086169.1678008942,COMPLETE
4,4,2211150647751.21,2145093.460189029,3306995.145836805,1614990.587542249,COMPLETE
5,5,4749267037539.85,6210011.043876591,6669444.740469033,3847925.1783312852,COMPLETE
6,6,3941276020774.994,2893982.8211108455,5545263.522962357,9488776.087355137,COMPLETE
7,7,5976628308381.209,8655938.17430264,3536504.6464202255,6682599.599634963,COMPLETE
8,8,2329738185495.67,3810228.4597083004,7129094.799546061,7436067.784341564,COMPLETE
9,9,2402288412175.13,1361146.486562338,1778549.9971868068,3913778.507741967,COMPLETE
10,10,5273131165035.59,5974606.298566121,7678149.955659997,4991960.872760893,COMPLETE
11,11,6913078336300.811,6029972.478258323,8045742.439030605,6430437.535642661,COMPLETE
12,12,2281741986288.289,3089854.14657315,6870249.436065432,9010851.471994879,COMPLETE
13,13,3391058274354.741,3532466.5441019665,9523088.035631765,223266.53793412587,COMPLETE
14,14,2650582136027.1885,3555260.1721745487,3880077.59268725,275176.6533744631,COMPLETE
15,15,24024161733387.203,10052.762514910195,9345601.583715573,173373.00111632608,COMPLETE
16,16,5723983851969.773,552105.1845480422,9859861.537281685,624303.9584378133,COMPLETE
17,17,2189325916157.84,2747885.091072457,3586428.011643221,308981.360482743,COMPLETE
18,18,2991211754831.3374,2344945.7397045693,4138377.8384495378,2186291.7261529416,COMPLETE
19,19,2027319496953.139,2206040.9497229476,3613430.612961788,2229703.5769175566,COMPLETE
20,20,1991265539023.9941,1977491.5028975275,3731684.4131188965,2101857.6698144055,COMPLETE
21,21,3944786028237.3135,4641367.406883247,401414.9953633426,2132148.829322572,COMPLETE
22,22,2678760792111.018,1754166.2468612092,218320.2677692189,1864782.6695319558,COMPLETE
23,23,5760689044601.055,4892360.047707571,197032.245127453,3000512.6816091817,COMPLETE
24,24,1670773762562.8672,1865171.1566958595,2733400.4766773046,1467171.6504413132,COMPLETE
25,25,3159831074862.0547,1332197.0316436363,2477107.8529337817,1196776.3174728071,COMPLETE
26,26,5382204563423.296,1446011.932146971,2299233.4540846036,1257421.1002664207,COMPLETE
27,27,2456656769424.896,908481.824002086,5024191.739906732,1045544.867158399,COMPLETE
28,28,2766860399323.3237,870288.3580524494,5124036.02885648,3390251.02434952,COMPLETE
29,29,2073806650826.0251,1236720.4267650223,4654963.632719645,3164167.651086042,COMPLETE
30,30,2140854696740.9197,4390995.496346917,2749685.5050334064,4818729.782208805,COMPLETE
31,31,4152089975893.026,4155205.0107061127,4634953.847888112,5032831.7930463115,COMPLETE
32,32,3221805246677.6445,4369535.471689733,6018174.188697022,2581350.5586865777,COMPLETE
33,33,2054654437372.8403,4077650.595946697,2836572.3602638505,4962773.356757485,COMPLETE
34,34,15746639904242.012,146572.68952589575,5813743.1068001455,2844094.129145254,COMPLETE
35,35,10727320777369.432,8036.654058597749,2657345.9850422824,4855743.232105706,COMPLETE
36,36,2667182094161.8325,1967972.0273567513,4377100.407343038,2639373.174871998,COMPLETE
37,37,3078875969455.887,2050922.6239746124,4228881.486735696,3734173.9746353403,COMPLETE
38,38,3296682874534.962,2359326.760574755,4272079.8776434455,3634150.602621427,COMPLETE
39,39,2331580920210.821,2407948.8055079863,3171568.044622958,3956945.199232962,COMPLETE
40,40,8393214594381.635,7470724.278060535,1228217.1667060936,3691681.853923316,COMPLETE
41,41,4349150693656.0293,3138164.6155439727,1496198.5147804704,4196980.126522054,COMPLETE
42,42,8638088373264.896,5553632.967548838,1128191.1961486847,5890204.194211716,COMPLETE
43,43,2830880510559.53,5408786.887066694,3143354.8585330117,5784025.048084069,COMPLETE
44,44,2766133278490.7563,5335626.981663105,1879478.6080412068,5735946.280593997,COMPLETE
45,45,2368843819338.5034,5272562.611747926,1980270.9770254542,5638756.936502767,COMPLETE
46,46,5964266460151.323,912233.9574504656,2206328.3306766152,1577266.5552704555,COMPLETE
47,47,1549462092618.7979,943335.2753684156,1797261.7728217277,1529088.4402379375,COMPLETE
48,48,1192551583040.3223,755478.7262567964,3629982.0801619166,1571908.6999792466,COMPLETE
49,49,1935526211252.8804,1591722.5451241247,3676158.1444137157,1638585.846987005,COMPLETE
50,50,1608570950068.5027,1494599.01429621,2920883.5733376495,3223530.0873403437,COMPLETE
51,51,4840809483732.166,7053354.378868741,3644265.699937391,849168.4436422908,COMPLETE
52,52,1564446989697.346,458614.9664753417,3669323.841139655,868766.2783501821,COMPLETE
53,53,1230179356774.8176,648674.700185387,3396564.962203428,731650.4134150508,COMPLETE
54,54,1800768409773.22,1788660.6750620513,3082490.562989214,1611199.6513235029,COMPLETE
55,55,2012798084380.9954,513082.5430359817,3088347.760683046,1704548.6201750678,COMPLETE
56,56,1564414634654.7205,484191.3646874336,3113224.052579325,1522466.1902016243,COMPLETE
57,57,1816798587769.9343,495591.85061059357,1572375.940994395,633768.3076568939,COMPLETE
58,58,3334474436807.454,487510.81730713637,693219.0181337185,491836.1183944503,COMPLETE
59,59,11540892327990.854,9974080.15721003,717692.0084718782,621589.2423641857,COMPLETE
60,60,3068557468496.9727,421716.0985996882,3348047.110827747,2474558.1446837587,COMPLETE
61,61,2803674411392.4683,388604.0449104457,3363305.9769619736,112414.50800887239,COMPLETE
62,62,1445753790867.1577,1076103.9863403956,4005604.963874118,121055.04631098302,COMPLETE
63,63,1621249950882.513,964990.1601884733,3948977.4054204775,882078.4120024784,COMPLETE
64,64,1455238623744.9304,1036311.6901869309,4043160.99022551,923680.2032043096,COMPLETE
65,65,1693043540872.8547,955499.7928269098,3893454.4709068434,69537.01509283436,COMPLETE
66,66,2156263293397.83,1202647.2767733538,4593511.871700649,122231.76022606273,COMPLETE
67,67,3814780002402.8486,1128529.9511187726,5314711.790376173,48794.00545052171,COMPLETE
68,68,3421753240363.686,1113437.2577369956,5276020.247465663,1329136.2563729638,COMPLETE
69,69,4527743896018.66,754753.9355053753,5294782.239351659,1248127.0542492867,COMPLETE
70,70,1478218137314.9285,741042.2780672613,4933570.075440029,1204403.880514115,COMPLETE
71,71,5541752895303.97,658901.9466647011,2353393.098245805,1346751.7828887007,COMPLETE
72,72,11359800502486.47,193011.12715622992,4023153.612845263,8063120.0895553585,COMPLETE
73,73,12106444509131.166,281623.357395117,4767815.940465815,1889282.0445124104,COMPLETE
74,74,12430206730859.518,155363.52014312847,4798555.100222987,851653.628290155,COMPLETE
75,75,2031832847265.972,1544657.565644348,4057895.4867666066,593193.3908731635,COMPLETE
76,76,4316407826879.256,2715360.141577241,4880494.987182863,1020611.6732421098,COMPLETE
77,77,3009229300533.9307,2611743.15918608,6479606.432973435,1003830.055437336,COMPLETE
78,78,4700372427276.727,2645846.9049369656,5641485.331816975,476776.4285170713,COMPLETE
79,79,3371564887764.0947,732556.5644923921,6076232.991657639,1061635.2205969524,COMPLETE
80,80,1525043190177.6519,1389002.9458669676,3478002.15827761,2312921.8286557766,COMPLETE
81,81,1498222491955.1885,1285162.2121423173,3478629.649181365,2015487.5955261574,COMPLETE
82,82,2158979850894.4224,1273887.351869252,4402236.708624919,1881925.9232348115,COMPLETE
83,83,2225948316918.701,1439890.348854294,4447456.7065201225,1941859.648602759,COMPLETE
84,84,2777960891595.2915,1686649.882347744,4434172.980395974,2358729.8204682213,COMPLETE
85,85,1671808781685.2139,1561835.3692676895,3382097.139563116,2263615.1969674905,COMPLETE
86,86,1717980734027.8848,1738351.992338038,3439564.216143959,2331891.3459645533,COMPLETE
87,87,2568398062833.1504,1778722.0441465864,2593023.857246591,2510558.858060409,COMPLETE
88,88,3738688340959.1304,1096582.7029118885,2527315.1975755068,2746739.8396713235,COMPLETE
89,89,4298169167191.837,2158316.1776721035,8678721.616564672,2824917.7400116893,COMPLETE
90,90,1738695143004.8994,2159904.660091172,2841117.889880361,7113193.2082758825,COMPLETE
91,91,1288977987993.7917,756361.6003562198,3767554.5534735867,7333799.740485078,COMPLETE
92,92,1360693392774.584,713059.6837169492,2881408.100510439,376770.79024967924,COMPLETE
93,93,3089555456840.0664,744234.6294141794,2073395.8187907399,8781839.591135953,COMPLETE
94,94,4703684580630.529,741548.7350051694,2157484.4971133512,333998.1029372956,COMPLETE
95,95,1373103063404.3567,858685.237530204,3809767.339616699,367800.09788556886,COMPLETE
96,96,1327416186144.3118,825848.2825875524,3810976.651288124,9239115.743389925,COMPLETE
97,97,7848023540037.44,50843.11408753332,3858429.6001762403,8792936.74571825,COMPLETE
98,98,1734033671269.848,1251595.1031133062,3761903.7734456784,9823890.290987352,COMPLETE
99,99,2038944306982.5122,1281793.8370070606,4222829.355098282,7429870.216735363,COMPLETE
100,100,5641323265244.706,280638.7507358029,3753226.8415492154,6783595.043636973,COMPLETE
101,101,6343626715071.678,255320.3384927485,3518364.507682947,9210171.548054913,COMPLETE
102,102,1284196096163.3792,929961.3871975049,2934904.8001799476,6178706.647859704,COMPLETE
103,103,1260539523365.8691,971263.0311495286,2980413.569163327,4586815.432599024,COMPLETE
104,104,1304997695994.2932,655592.1427711556,3159912.8355386034,6106676.897189313,COMPLETE
105,105,1211058758941.722,989145.476220716,2923113.2215407956,6145659.0017071245,COMPLETE
106,106,1203996649538.287,951130.8503238964,2927788.232133879,4282761.139263562,COMPLETE
107,107,1292571623019.2583,995441.3576248379,2924876.858424633,6074990.340401363,COMPLETE
108,108,1291900060488.6304,896657.5687104984,3069134.430582074,6321903.801603137,COMPLETE
109,109,1342786605852.553,588797.719478618,3042980.764321244,6147054.585373383,COMPLETE
110,110,4825812438858.724,917824.0576696864,2425158.1478438014,6147869.957132022,COMPLETE
111,111,1753506270704.803,568486.6043652758,2999183.732852697,5449884.641521998,COMPLETE
112,112,3217155111933.5015,365961.40925830486,3229278.690023157,5442764.407948553,COMPLETE
113,113,3978094371917.454,8094052.078289227,2706979.5864393767,4571844.754665216,COMPLETE
114,114,1233535968404.8887,599394.5857196169,3224140.6646099417,6432580.237124345,COMPLETE
115,115,2523694522694.7144,887145.7664898428,2665245.286964149,6507878.443567599,COMPLETE
116,116,1195364854816.094,861456.6439941087,3050877.0697676498,6475375.556772442,COMPLETE
117,117,7689975961428.289,392.44418855325785,3279954.2779378956,6619197.734623004,COMPLETE
118,118,1411530582310.332,1094415.031327049,3225879.0889823507,6080681.047924236,COMPLETE
119,119,10243427539020.398,13137.739790575812,3245647.8481685463,6727732.81819707,COMPLETE
120,120,1615193710626.3164,569495.6240854507,2912922.0135903135,6950220.955519355,COMPLETE
121,121,5143937014884.41,1874496.8717198055,2316735.560933237,6944712.966222717,COMPLETE
122,122,5327523542693.516,1937229.5591704636,2316313.968203669,7054666.395547512,COMPLETE
123,123,1671365493035.502,607649.3586353185,2862449.8152677496,7371297.090299106,COMPLETE
124,124,1831608698617.576,568471.5521289953,2872444.856630911,6302592.595842725,COMPLETE
125,125,2046144508202.8508,898499.5879761623,2582257.1458278447,6291979.108433692,COMPLETE
126,126,1224371081754.5044,827521.3969454884,3599425.9048102554,6290309.199685088,COMPLETE
127,127,1256477239089.2297,832823.8813319342,3590654.405639529,6390023.6870536115,COMPLETE
128,128,4464714710741.659,339725.334878923,3575691.929469073,5942983.382712544,COMPLETE
129,129,4684420149961.196,6602848.663839516,3610098.8193136305,7721124.698102506,COMPLETE
130,130,4686830757712.903,6339667.100060679,3552553.7494168174,5171845.86154553,COMPLETE
131,131,1544778485105.8486,1479113.7048482953,3660352.158510646,5201728.390386801,COMPLETE
132,132,2248743338576.081,1065707.3860409192,2667412.0437784563,4225195.7731794,COMPLETE
133,133,1296621864535.617,1056186.7730159906,3026094.017497376,4275312.368269095,COMPLETE
134,134,1529228051268.4224,1336598.1307088276,3086785.9138765843,5602962.806341004,COMPLETE
135,135,1553227759554.1475,1380020.1901760534,3047426.3440022226,4609381.486998726,COMPLETE
136,136,1347562395969.9587,1039753.600002477,3289775.5852971007,4478481.650301697,COMPLETE
137,137,1190901658872.0667,1004281.3262007455,3348591.567170249,6454991.470485432,COMPLETE
138,138,1334621904452.7942,1050616.4914718124,3352679.462352952,6445809.590752803,COMPLETE
139,139,2040712329509.5432,3428593.825199682,3359001.0878362674,6344862.916623564,COMPLETE
140,140,1177113445859.2307,855817.8223330921,3432608.346777377,6547536.938089418,COMPLETE
141,141,1327046646457.6157,839542.3730631876,4139126.305819065,7254074.167567275,COMPLETE
142,142,5873716859760.81,360260.72903161973,2491862.8773241574,7198715.156287556,COMPLETE
143,143,2000054827490.8623,1652653.9256469645,4122388.647799046,7161931.051010194,COMPLETE
144,144,1852723382359.0955,1654944.9994962998,2749528.1674679667,5946487.668607419,COMPLETE
145,145,1902854630819.1997,1535685.6341791288,3852407.7150412872,7686615.967334889,COMPLETE
146,146,1525406459876.0728,1221181.4634205,2775267.884073619,5938261.427951106,COMPLETE
147,147,1394437989734.7866,785567.0955392343,3876092.8195348717,6625943.392508365,COMPLETE
148,148,1357807681804.5615,1224658.4429886674,3461738.4084920045,6625728.744972289,COMPLETE
149,149,1224857017539.2673,1221407.665712446,3449366.3284279555,5690083.460997035,COMPLETE
150,150,1487313633699.925,464615.7470559785,3536649.9808943984,6566725.448727459,COMPLETE
151,151,5057746272710.413,349275.7695099815,3014214.009906632,6902707.9457480265,COMPLETE
152,152,6815076515240.447,234520.56658455578,3723511.602205926,5587777.179391066,COMPLETE
153,153,6159965247948.908,190201.3113953513,3130643.403296418,6855035.952129195,COMPLETE
154,154,1177374506022.708,865153.0859428344,3284232.2513001757,5688090.009777856,COMPLETE
155,155,1188727194351.8828,850415.1251488696,3330860.389912291,6325502.527423877,COMPLETE
156,156,1156860656607.2593,815528.3533883344,3328203.75582614,6348407.322219395,COMPLETE
157,157,1164839440211.3982,777018.0837940581,3365366.73937557,5736200.740280737,COMPLETE
158,158,1153708179397.5989,801641.64263464,3359184.742899525,5785526.1386301685,COMPLETE
159,159,1237170779508.9683,666868.6647492182,3347821.413525059,5346272.112285402,COMPLETE
160,160,1232007581364.7234,669651.1130552688,3215628.817952142,5808931.688140531,COMPLETE
161,161,1184395333738.604,648170.9600444431,3340988.9623411126,5744613.445656462,COMPLETE
162,162,1411310131462.276,593838.7157219187,3385269.8770514317,5330074.386762836,COMPLETE
163,163,1187000023195.2969,677229.8042170778,3364570.2499750378,5741284.291178012,COMPLETE
164,164,1197700724258.0247,672353.3732092179,3307146.3010897767,5717826.703095138,COMPLETE
165,165,1483065133882.259,1223063.129996769,3224015.741675458,5752924.106726321,COMPLETE
166,166,1466213436048.667,1201354.302199134,3954641.15631609,5802042.238911892,COMPLETE
167,167,1547790780075.945,1176128.9896993642,3998759.9539251993,5633324.916840289,COMPLETE
168,168,3331325462031.1094,455432.57748672104,3914435.2009241506,5630584.26079804,COMPLETE
169,169,1202136553219.248,802448.2317575429,3479622.6511022584,4995351.203203928,COMPLETE
170,170,2348354048244.3174,460670.8165856814,3472485.115207099,5875012.557413972,COMPLETE
171,171,2600429333737.2124,441395.95489638986,3450185.3110346487,5043123.805922052,COMPLETE
172,172,1702518581091.7827,1403309.4357850053,3600903.8835642175,4955862.514065032,COMPLETE
173,173,1674604647027.773,1397754.0917278393,3588372.368881392,4862966.335927049,COMPLETE
174,174,1150927522047.1626,768181.2957422389,3417594.0894297655,5020957.6928948155,COMPLETE
175,175,1142185666483.1218,780455.23842668,3383964.763890237,5121079.284740849,COMPLETE
176,176,1137941672416.4111,738539.5093631429,3337508.7266542385,5980643.844685452,COMPLETE
177,177,9403275788283.016,193722.97036516538,2777441.431528748,5200657.47610803,COMPLETE
178,178,1478966217197.7131,777306.7149483047,2771845.1484744987,5466942.392188527,COMPLETE
179,179,1187558642978.841,745682.2945517536,3226497.3241668087,5231627.328287741,COMPLETE
180,180,1215341002609.8276,765217.7155430563,3161153.660380061,6068964.702203144,COMPLETE
181,181,1321392823328.8699,1026005.6811422801,3183541.674425222,6002614.07391708,COMPLETE
182,182,1219284820867.7305,667137.6783831399,3293706.913965687,5299898.1374429865,COMPLETE
183,183,1428502532373.7966,605388.0916746277,3753515.916991188,4718970.120772645,COMPLETE
184,184,5396028135425.639,634653.3777628432,7338087.604213512,5193537.125625479,COMPLETE
185,185,1416014269360.9446,593996.8023063168,2978046.4702092614,5267555.8749269685,COMPLETE
186,186,1347181862934.5542,952854.3320160632,3700248.8081225744,4750976.17060176,COMPLETE
187,187,1335860425049.817,988544.0471085533,3032956.345022682,4725220.345634472,COMPLETE
188,188,1345171509919.7708,1006441.3657471394,3039243.59146109,5537718.198884112,COMPLETE
189,189,5414578673758.04,374023.76153602183,2998990.743417877,5586376.975739056,COMPLETE
190,190,7609929388663.195,348766.0676593952,2547188.1929781316,5417991.475672467,COMPLETE
191,191,2207575325808.0703,460522.58379044087,3363722.9065948226,5820157.931752679,COMPLETE
192,192,1154162197959.444,819907.2581828211,3295300.8127650535,6149123.689985346,COMPLETE
193,193,1141715075879.2397,801141.05904937,3351494.1502808714,5048291.916572855,COMPLETE
194,194,1174506756849.4436,795171.5651862917,3224525.69610272,6188906.612902044,COMPLETE
195,195,1172210422948.8335,840323.1935453101,3307380.016920832,6148549.216134602,COMPLETE
196,196,1177520174494.0933,826896.6074481797,3421712.497333451,4997551.077842771,COMPLETE
197,197,1154931887713.2944,781840.688207157,3359602.2207392612,6214432.36988801,COMPLETE
198,198,1188925016551.6133,795287.0942386747,3274606.9463421106,6277667.545522538,COMPLETE
199,199,1168359442607.7117,823825.2979323524,3217732.6907626525,6176883.539065063,COMPLETE
200,200,1134771968980.42,789442.3585956581,3260842.0547765815,6202256.086281803,COMPLETE
201,201,6867305722535.13,198435.74510239507,3252253.133224116,6138232.406194517,COMPLETE
202,202,5958934745657.123,9304957.64252695,3442196.566102551,6278321.984148406,COMPLETE
203,203,1433396282913.4937,1111907.8353450468,3693395.675451334,6395469.757676687,COMPLETE
204,204,1274967622563.0322,808743.5829699469,3715059.683366695,6025313.082746052,COMPLETE
205,205,1153159052242.3503,808090.7092917685,3335394.220467034,5959558.084901454,COMPLETE
206,206,1159247897643.1592,820799.3319314771,3216405.777903745,6706813.036599959,COMPLETE
207,207,1169542438906.7764,765090.5459868762,3233047.479894833,6688138.751052079,COMPLETE
208,208,2184311624005.9124,4706832.727088258,3237704.590798137,5926457.241253634,COMPLETE
209,209,1671958286777.9485,457709.3149224113,3180291.6262228917,6775461.476435023,COMPLETE
210,210,2050068300205.9338,493611.9538260746,3467206.8525373493,6796045.574018894,COMPLETE
211,211,1505228432759.2925,550759.5196167019,3527282.665880797,6691701.291288377,COMPLETE
212,212,1170669190680.089,818754.0087626062,3563599.683996291,6566222.826688562,COMPLETE
213,213,1461319436965.4556,1172911.6495772107,3536765.660762539,5976044.835650853,COMPLETE
214,214,1146786478841.7825,819148.4162605375,3176553.8134340635,6204256.8083333215,COMPLETE
215,215,1236525474903.1477,672272.3646469584,3101339.6253442126,6506069.8821490975,COMPLETE
216,216,1212201068383.057,882434.3272757878,3499660.75045731,6599874.804297162,COMPLETE
217,217,2753196367935.0347,597975.0773648001,2748474.7503788555,6153384.763703376,COMPLETE
218,218,1363895622101.278,1070579.1782290642,3116319.1842508246,5765126.299404209,COMPLETE
219,219,1599462271033.974,1112560.8940086379,3762138.3796371124,5787609.371307385,COMPLETE
220,220,1427984050803.3738,939614.0799221783,3765461.3159048753,6159481.034947087,COMPLETE
221,221,1153168259206.4004,873778.630249389,3385310.3392605335,6675573.058986566,COMPLETE
222,222,7052967680528.386,291258.1488241052,3440882.6067421064,6608729.149420316,COMPLETE
223,223,3393988875665.908,515563.0579404045,3592241.6343841203,5958354.7080544345,COMPLETE
224,224,1182055715274.1775,731986.9533520913,3249905.8401064523,5066607.087849884,COMPLETE
225,225,1144435905046.7031,752383.3389848132,3380382.3185425405,5106251.221690939,COMPLETE
226,226,1592157467981.919,1278878.568443315,2867711.726123479,4880920.953123972,COMPLETE
227,227,1549886486231.9917,1316234.669672453,2841550.1379754534,5054742.875384032,COMPLETE
228,228,1288510979129.2312,998653.0899083747,3166467.538565997,5097175.362099911,COMPLETE
229,229,1223184478337.811,914124.0677474771,3091288.820582097,6733857.216461343,COMPLETE
230,230,1258707341084.0437,954120.3909177282,3535082.8134722286,6781098.615147516,COMPLETE
231,231,1198357406374.9478,923278.1195424341,3558918.247213668,6764412.28951294,COMPLETE
232,232,1223141479847.1804,864635.2627555672,3631236.038566034,6459253.168558622,COMPLETE
233,233,1152639942461.8955,775203.625610318,3325635.7841941747,6236135.049530448,COMPLETE
234,234,1162517639773.4263,777028.2066799976,3352962.820527475,6160341.945260805,COMPLETE
235,235,2183278525092.438,483638.34630911425,3377059.8183009154,6216864.764568339,COMPLETE
236,236,1672086559521.935,541155.005191024,3347043.755533407,6282274.37135215,COMPLETE
237,237,1436658906751.023,1126443.5600695014,3128312.4373016534,6307481.756260437,COMPLETE
238,238,1426369371351.0767,1134959.8999337938,3122743.300932996,6498216.024880482,COMPLETE
239,239,1430275174418.6123,1161537.4394806374,3104207.2335322807,6487361.202577408,COMPLETE
240,240,1189125320055.2615,756983.9556238661,3054888.8823095993,7000191.740999416,COMPLETE
241,241,1275698664989.044,753237.9736485025,2946464.3709970512,7029684.740698643,COMPLETE
242,242,1300508112637.9167,741869.3834565628,2934125.8279773057,6118581.83878624,COMPLETE
243,243,4677209398976.826,5815500.584759617,3915511.100213874,7011344.27096537,COMPLETE
244,244,1151416397838.3213,762722.7952949626,3446228.4088787986,6079058.377475204,COMPLETE
245,245,1146502221990.5142,798650.5227731691,3377578.8994877166,6074082.985055368,COMPLETE
246,246,1186942624935.036,836795.2207937085,3342005.8887812677,6002985.201521087,COMPLETE
247,247,7990918480785.05,345491.39267643756,3337375.3733814,6077467.673479385,COMPLETE
248,248,1219215707012.549,873033.0172302944,3307420.348075708,5982609.3752690265,COMPLETE
249,249,4980090967910.385,360642.491026693,3664055.463833419,6194021.881691891,COMPLETE
